ZIP Code,Population that is attending college
60002,1260
60004,2029
60005,1364
60007,1960
60008,876
60010,1754
60012,596
60013,1271
60014,2418
60015,1527
60016,2754
60018,1350
60020,582
60021,248
60022,144
60025,1439
60026,491
60029,7
60030,2136
60031,2227
60033,540
60034,43
60035,749
60040,215
60041,154
60042,365
60043,70
60044,471
60045,1487
60046,1963
60047,2051
60048,1333
60050,1569
60051,1161
60053,1485
60056,2410
60060,2187
60061,1130
60062,1149
60064,1040
60067,1430
60068,1750
60069,393
60070,635
60071,223
60072,34
60073,3130
60074,1611
60076,1781
60077,1336
60081,380
60083,525
60084,658
60085,3325
60087,1499
60088,916
60089,1674
60090,1525
60091,671
60093,507
60096,320
60097,359
60098,1550
60099,1316
60101,1956
60102,1745
60103,2021
60104,987
60106,886
60107,1926
60108,1034
60109,11
60110,1962
60111,0
60112,374
60113,16
60115,12110
60118,574
60119,491
60120,2591
60123,3219
60124,935
60126,2889
60129,5
60130,658
60131,1104
60133,2179
60134,1035
60135,430
60136,277
60137,1662
60139,2014
60140,723
60141,0
60142,640
60143,362
60144,0
60145,227
60146,230
60148,3079
60150,94
60151,136
60152,547
60153,1324
60154,635
60155,330
60156,1268
60157,62
60160,1225
60162,469
60163,195
60164,1098
60165,205
60169,1718
60171,482
60172,1386
60173,564
60174,1706
60175,1131
60176,744
60177,1123
60178,1432
60180,165
60181,1720
60184,143
60185,1836
60187,3001
60188,2855
60189,1727
60190,441
60191,741
60192,412
60193,1573
60194,811
60195,181
60201,8886
60202,1266
60203,157
60301,56
60302,1387
60304,794
60305,1232
60401,277
60402,3827
60403,729
60404,1054
60406,1495
60407,57
60408,206
60409,2903
60410,693
60411,3442
60415,837
60416,346
60417,695
60419,1748
60420,300
60421,205
60422,406
60423,1454
60424,85
60425,513
60426,1363
60428,741
60429,969
60430,990
60431,1131
60432,974
60433,625
60435,2998
60436,806
60437,1
60438,1719
60439,1225
60440,2900
60441,1623
60442,516
60443,1406
60444,32
60445,1185
60446,3359
60447,822
60448,1330
60449,515
60450,815
60451,1872
60452,1369
60453,3234
60455,1018
60456,204
60457,890
60458,881
60459,1591
60460,23
60461,198
60462,1787
60463,684
60464,419
60465,1332
60466,1361
60467,1030
60468,322
60469,330
60470,18
60471,1162
60472,318
60473,1535
60474,34
60475,457
60476,137
60477,2213
60478,929
60479,6
60480,176
60481,437
60482,827
60484,547
60487,1498
60490,1625
60491,1219
60501,732
60502,1183
60503,797
60504,2213
60505,2593
60506,4071
60510,1661
60511,75
60512,183
60513,1080
60514,361
60515,1178
60516,1450
60517,1714
60518,158
60519,9
60520,192
60521,677
60523,254
60525,1370
60526,531
60527,1226
60530,31
60531,75
60532,2240
60534,505
60536,4
60537,8
60538,1234
60539,0
60540,3578
60541,136
60542,740
60543,1761
60544,992
60545,572
60546,945
60548,619
60549,56
60550,64
60551,290
60552,98
60553,41
60554,750
60555,681
60556,70
60557,0
60558,327
60559,902
60560,1210
60561,1159
60563,1974
60564,2064
60565,2213
60585,1061
60586,3064
60601,1291
60602,217
60603,382
60604,49
60605,4113
60606,63
60607,5019
60608,4523
60609,3282
60610,2176
60611,1075
60612,2522
60613,2586
60614,6049
60615,3981
60616,4174
60617,4491
60618,4471
60619,3301
60620,4178
60621,1517
60622,2010
60623,4319
60624,1708
60625,5156
60626,5439
60628,3811
60629,5472
60630,3415
60631,1204
60632,4696
60633,559
60634,4048
60636,1367
60637,6375
60638,3035
60639,4817
60640,3704
60641,3920
60642,1036
60643,2883
60644,2856
60645,2144
60646,845
60647,4096
60649,2685
60651,2614
60652,2728
60653,1912
60654,480
60655,2051
60656,1233
60657,3405
60659,2669
60660,4550
60661,429
60706,1158
60707,2735
60712,740
60714,1485
60803,1395
60804,5101
60805,1218
60827,1549
60901,1778
60910,19
60911,37
60912,9
60913,50
60914,3328
60915,427
60917,9
60918,57
60919,33
60920,8
60921,23
60922,112
60924,63
60926,0
60927,122
60928,22
60929,42
60930,19
60931,5
60932,0
60933,14
60934,2
60935,66
60936,79
60938,68
60940,177
60941,84
60942,132
60945,16
60946,24
60948,33
60949,21
60950,601
60951,11
60952,6
60953,77
60954,317
60955,46
60957,226
60958,116
60959,18
60960,64
60961,15
60962,21
60963,68
60964,197
60966,21
60968,7
60969,2
60970,214
60973,8
60974,7
61001,45
61006,86
61007,0
61008,1598
61010,359
61011,40
61012,123
61013,17
61014,28
61015,18
61016,127
61018,19
61019,83
61020,115
61021,1210
61024,49
61025,102
61027,0
61028,46
61030,77
61031,50
61032,1258
61036,268
61037,0
61038,49
61039,82
61041,29
61042,5
61043,7
61044,6
61046,84
61047,74
61048,195
61049,54
61050,22
61051,41
61052,14
61053,103
61054,158
61057,15
61059,24
61060,39
61061,256
61062,68
61063,137
61064,66
61065,319
61067,17
61068,802
61070,62
61071,475
61072,439
61073,893
61074,84
61075,41
61077,0
61078,50
61079,4
61080,337
61081,847
61084,82
61085,155
61087,46
61088,396
61089,3
61091,0
61101,914
61102,797
61103,1204
61104,864
61107,1420
61108,1595
61109,1222
61111,906
61112,0
61114,782
61115,1054
61201,3919
61230,47
61231,220
61232,28
61234,37
61235,63
61236,0
61238,60
61239,86
61240,228
61241,137
61242,14
61243,7
61244,1039
61250,76
61251,0
61252,181
61254,332
61256,61
61257,27
61258,3
61259,77
61260,67
61261,25
61262,64
61263,22
61264,288
