ZIP Code,Percent Married
60002,54.5
60004,59.8
60005,55
60007,52.7
60008,50.2
60010,66.8
60012,65.9
60013,61.5
60014,54.3
60015,62.9
60016,52.5
60018,52
60020,39.2
60021,57.2
60022,72.3
60025,60.7
60026,62.5
60029,75.8
60030,55.6
60031,55.5
60033,58.9
60034,49.7
60035,65.8
60040,48.8
60041,53.4
60042,51.4
60043,69.4
60044,58.1
60045,62.4
60046,59.3
60047,64
60048,63.6
60050,54.6
60051,56.3
60053,59.1
60056,57.9
60060,57.8
60061,61.3
60062,63.9
60064,34.1
60067,54.6
60068,57.8
60069,55.5
60070,58.9
60071,47.1
60072,63.9
60073,54.5
60074,52.3
60076,55.6
60077,50.2
60081,63.6
60083,57.3
60084,55.6
60085,41.5
60087,45.9
60088,23.6
60089,63.8
60090,53.5
60091,65.9
60093,66.1
60096,57.6
60097,55.1
60098,51.3
60099,44.2
60101,51.8
60102,60.8
60103,64.2
60104,33.5
60106,50.5
60107,52.7
60108,53.5
60109,60.4
60110,50.4
60111,93.5
60112,52.7
60113,36.7
60115,31.9
60118,58.5
60119,64
60120,48
60123,47.3
60124,66.8
60126,57.6
60129,76.4
60130,37.4
60131,48
60133,54.5
60134,63.6
60135,50.2
60136,65.6
60137,60.8
60139,50.3
60140,61.6
60141,26.6
60142,66.3
60143,55.4
60144,41.1
60145,50.2
60146,53.4
60148,51.1
60150,51.1
60151,53.9
60152,63.8
60153,33.5
60154,54.9
60155,33.2
60156,56.5
60157,55
60160,41.1
60162,37.1
60163,43.7
60164,48
60165,41.6
60169,54.8
60171,54.3
60172,53.8
60173,49.4
60174,54.3
60175,61.9
60176,51.5
60177,58.2
60178,49.8
60180,58.2
60181,50.4
60184,62.4
60185,56.3
60187,52.4
60188,53.8
60189,59.7
60190,61.9
60191,49
60192,70.3
60193,56.2
60194,53.8
60195,45
60201,38.5
60202,46
60203,63.9
60301,43.6
60302,49.3
60304,51.8
60305,58.3
60401,53.4
60402,43.7
60403,43.4
60404,57.4
60406,34.6
60407,44
60408,53.2
60409,30.6
60410,61.5
60411,35.5
60415,49
60416,53.2
60417,49.1
60419,31.2
60420,47.6
60421,60.2
60422,53.9
60423,62.7
60424,58.3
60425,43
60426,24.7
60428,28.7
60429,35.2
60430,49
60431,51.4
60432,43.5
60433,37.7
60435,41.7
60436,38.3
60437,59.7
60438,42.5
60439,58.8
60440,51.8
60441,49.6
60442,58.8
60443,49.4
60444,58.1
